# slug|título|categoria|grupo
# categorias: sobre, ensino, pratica, temas, pacientes, profissionais, ciencia, noticias, projetos, publicos
para-pacientes|Pacientes e Comunidade|publicos|
para-estudantes|Estudantes|publicos|
para-pesquisadores|Pesquisadores|publicos|
para-profissionais|Profissionais e Gestores|publicos|
receita-simples|Receita Simples|projetos|
prescreva-um-livro|Prescreva um Livro|projetos|
instagram|Instagram — Luz, Câmera, Saúde|projetos|
boas-vindas|Quem somos|sobre|
dr-estevao-rolim|Dr. Estêvão Rolim|sobre|
equipe|Equipe|sobre|
premios|Prêmios|sobre|
icase-2026|ICASE 2026|sobre|
historia-da-medicina|História da Medicina|sobre|
planejamento-estrategico|Planejamento Estratégico|sobre|
diagnostico-situacional|Diagnóstico Situacional|sobre|
painel-de-bordo|Painel de Bordo|sobre|
agenda-2030-ods-3-saude|Agenda 2030 — ODS 3 Saúde|sobre|
unb-med5-sfc2|UnB MED5 — SFC 2|ensino|
unb-med9-internato-1|UnB MED9 — Internato 1|ensino|
unb-med12-internato-2|UnB MED12 — Internato 2|ensino|
liga-mfc-unb|Liga MFC UnB|ensino|
bolsas|Bolsas|ensino|
estudo|Estudo por Questões|ensino|
oficinas|Oficinas|ensino|
ses-treinamento-mfc|SES — Treinamento MFC|ensino|
gpt-aquarelas-para-casos-clinicos|GPT Aquarelas para Casos Clínicos|ensino|
simulacoes|Simulações|pratica|
testes|Testes|pratica|
dcnts|Doenças Crônicas Não Transmissíveis (DCNTs)|temas|Doenças crônicas
hipertensao|Hipertensão|temas|Doenças crônicas
diabetes|Diabetes|temas|Doenças crônicas
dislipidemia|Dislipidemia|temas|Doenças crônicas
endocrino-hipotireoidismo|Hipotireoidismo|temas|Doenças crônicas
dor-cronica|Dor Crônica|temas|Doenças crônicas
tabagismo-na-aps|Tabagismo na APS|temas|Doenças crônicas
cardio-insuficiencia-cardiaca|Insuficiência Cardíaca|temas|Doenças crônicas
cardio-infarto-do-miocardio|Infarto do Miocárdio|temas|Doenças crônicas
neuro-ave-derrame|AVE (Derrame)|temas|Doenças crônicas
asma|Asma|temas|Doenças crônicas
pre-natal-geral|Pré-natal Geral|temas|Saúde da mulher e pré-natal
pre-natal-diabetes-gestacional|Pré-natal — Diabetes Gestacional|temas|Saúde da mulher e pré-natal
pre-natal-hipertensao-dheg|Pré-natal — Hipertensão e DHEG|temas|Saúde da mulher e pré-natal
contracepcao|Contracepção|temas|Saúde da mulher e pré-natal
diu|DIU|temas|Saúde da mulher e pré-natal
